10/17 09:56:33 AM | Start Loading saved feather dataset
10/17 09:56:34 AM | Data loaded.
10/17 09:56:34 AM | Define the pipeline:
10/17 09:56:34 AM | Training, testing split.
10/17 09:56:34 AM | Searching for best params...
10/17 11:01:20 AM | Best parameters set found on development set:
10/17 11:01:20 AM | {'clf__C': 5, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | Grid scores on development set:
10/17 11:01:20 AM | 0.282 (+/-0.005) for {'clf__C': 0.1, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.278 (+/-0.005) for {'clf__C': 0.1, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | 0.362 (+/-0.004) for {'clf__C': 0.2, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.361 (+/-0.004) for {'clf__C': 0.2, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | 0.404 (+/-0.004) for {'clf__C': 0.3, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.403 (+/-0.004) for {'clf__C': 0.3, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | 0.451 (+/-0.004) for {'clf__C': 0.5, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.450 (+/-0.004) for {'clf__C': 0.5, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | 0.497 (+/-0.004) for {'clf__C': 1, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.497 (+/-0.005) for {'clf__C': 1, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | 0.544 (+/-0.003) for {'clf__C': 5, 'tfidf__ngram_range': (1, 2)}
10/17 11:01:20 AM | 0.544 (+/-0.003) for {'clf__C': 5, 'tfidf__ngram_range': (1, 3)}
10/17 11:01:20 AM | Scores report on test dataset using best model:
10/17 11:01:21 AM |                 precision    recall  f1-score   support

ARTS & CULTURE       0.64      0.52      0.58       410
  BLACK VOICES       0.60      0.44      0.51       451
      BUSINESS       0.54      0.48      0.51       557
        COMEDY       0.62      0.45      0.52       523
         CRIME       0.63      0.61      0.62       327
       DIVORCE       0.81      0.73      0.77       350
     EDUCATION       0.54      0.43      0.48       208
 ENTERTAINMENT       0.65      0.76      0.70      1602
   ENVIRONMENT       0.65      0.25      0.36       138
         FIFTY       0.42      0.11      0.17       146
  FOOD & DRINK       0.74      0.81      0.77       838
     GOOD NEWS       0.44      0.18      0.25       131
         GREEN       0.50      0.38      0.43       274
HEALTHY LIVING       0.44      0.22      0.30       679
 HOME & LIVING       0.79      0.74      0.76       415
        IMPACT       0.44      0.28      0.34       323
 LATINO VOICES       0.60      0.22      0.32        97
         MEDIA       0.58      0.41      0.48       262
         MONEY       0.61      0.40      0.48       188
       PARENTS       0.65      0.78      0.71      1234
      POLITICS       0.71      0.86      0.78      3255
  QUEER VOICES       0.79      0.71      0.75       656
      RELIGION       0.63      0.42      0.51       252
       SCIENCE       0.62      0.43      0.51       219
        SPORTS       0.73      0.74      0.73       511
STYLE & BEAUTY       0.81      0.85      0.83      1212
          TECH       0.60      0.45      0.51       217
        TRAVEL       0.73      0.80      0.76      1018
      WEDDINGS       0.82      0.77      0.80       389
    WEIRD NEWS       0.48      0.29      0.37       268
      WELLNESS       0.58      0.81      0.67      1748
         WOMEN       0.44      0.34      0.38       340
    WORLD NEWS       0.59      0.24      0.34       218
     WORLDPOST       0.63      0.60      0.62       630

      accuracy                           0.67     20086
     macro avg       0.62      0.52      0.55     20086
  weighted avg       0.65      0.67      0.65     20086

